Código del Set,Nombre del Set,Año de Lanzamiento,PVP,Precio como Nuevo,Precio como Usado,Valoración de Usuarios
76127,76127:  Captain Marvel and The Skrull Attack,1 Jan 2019 - 31 Dec 2020 (1y 11m 29d),"$29.99, €29.23 | More",~€34.81,~€20.39,✭✭✭✭✩ 3.6 245 ratings 5 reviews Brickset review
76128,76128:  Molten Man Battle,22 Apr 2019 - 31 Dec 2020 (1y 8m 10d),"$29.99, €29.23 | More",~€45.05,~€23.54,✭✭✭✭✩ 3.9 273 ratings 6 reviews Brickset review
76129,76129:  Hydro-Man Attack,22 Apr 2019 - 31 Dec 2019 (8m 9d),"$39.99, €39.99 | More",~€37.71,~€18.55,✭✭✭✭✩ 4.1 299 ratings 4 reviews
76130,76130:  Stark Jet and the Drone Attack,22 Apr 2019 - 31 Dec 2020 (1y 8m 10d),"$69.99, €58.48 | More",~€59.55,~€36.15,✭✭✭✭✩ 3.7 159 ratings
76131,76131:  Avengers Compound Battle,1 Apr 2019 - 31 Dec 2020 (1y 9m),"$99.99, €97.47 | More",~€78.36,~€83.39,✭✭✭✭✩ 3.5 240 ratings 1 review
76133,76133:  Spider-Man Car Chase,Año no disponible,"$9.99, €9.99 | More",~€10.59,~€2.04,✭✭✭✭✩ 3.4 115 ratings 2 reviews Brickset review
76134,76134:  Spider-Man: Doc Ock Diamond Heist,Año no disponible,"$29.99, €29.99 | More",~€38.38,~€7.50,✭✭✭✭✩ 3.4 29 ratings Brickset review
76140,76140:  Iron Man Mech,1 Jan 2020 - 31 Dec 2021 (1y 11m 29d),"$9.99, €9.99 | More",~€14.26,~€6.96,✭✭✭✭✩ 3.5 252 ratings 2 reviews Brickset review
76141,76141:  Thanos Mech,1 Jan 2020 - 31 Jul 2021 (1y 6m 29d),"$9.99, €9.99 | More",~€13.09,~€6.30,✭✭✭✭✩ 3.7 243 ratings 4 reviews Brickset review
76142,76142:  Avengers Speeder Bike Attack,1 Jan 2020 - 31 Dec 2020 (11m 30d),"$19.99, €24.36 | More",~€25.69,~€16.39,✭✭✭✭✩ 3.4 112 ratings 2 reviews Brickset review
76143,76143:  Avengers Truck Take-down,1 Jan 2020 - 31 Jul 2021 (1y 6m 29d),"$39.99, €39.99 | More",~€33.69,~€27.83,✭✭✭✭✩ 3.5 94 ratings 3 reviews
76144,76144:  Avengers Hulk Helicopter Rescue,1 Dec 2019 - 31 Dec 2020 (1y 1m),"$59.99, €58.48 | More",~€61.48,~€51.39,✭✭✭✭✩ 3.4 152 ratings 1 review Brickset review
76145,76145:  Eternals' Aerial Assault,1 Oct 2021 - 31 Dec 2022 (1y 2m 29d),"$9.99, €9.99 | More",~€6.11,~€5.56,✭✭✭✭✩ 3.3 160 ratings 1 review Brickset review
76146,76146:  Spider-Man Mech,1 Jan 2020 - 31 Dec 2021 (1y 11m 29d),"$9.99, €9.99 | More",~€21.81,~€7.64,✭✭✭✭✩ 3.6 131 ratings 2 reviews
76147,76147:  Vulture's Trucker Robbery,1 Jan 2020 - 31 Dec 2020 (11m 30d),"$19.99, €24.36 | More",~€13.63,~€9.46,✭✭✭✩✩ 3.0 30 ratings
76148,76148:  Spider-Man vs. Doc Ock,1 Jan 2020 - 31 Dec 2020 (11m 30d),"$19.99, €29.23 | More",~€44.35,~€22.53,✭✭✭✩✩ 3.1 57 ratings
