,Código del Set,Nombre del Set,Fecha de Lanzamiento,Año de Lanzamiento,PVP $,Precio como Nuevo $,Precio como Usado $,Valoración de Usuarios,Porcentaje como nuevo,Porcentaje como usado
98,76383,Hogwarts Moment: Potions Class,1 Jan 2021 - 31 Dec 2022 (1y 11m 28d),2021,29.99,27.819000000000003,20.097,✭✭✭✭✩ 3.9 212 ratings 1 review Brickset review,-7.24,-32.99
99,76384,Hogwarts Moment: Herbology Class,1 Jan 2021 - 31 Dec 2021 (11m 29d),2021,29.99,48.82900000000001,36.135000000000005,✭✭✭✭✩ 3.8 196 ratings 1 review Brickset review,62.82,20.49
100,76385,Hogwarts Moment: Charms Class,1 Jan 2021 - 31 Dec 2022 (1y 11m 28d),2021,29.99,29.92,24.079000000000004,✭✭✭✭✩ 3.7 192 ratings 3 reviews Brickset review,-0.23,-19.71
101,76386,Hogwarts: Polyjuice Potion Mistake,1 Jun 2021 - 31 Dec 2023 (2y 6m 29d),2021,19.99,19.371000000000002,13.684000000000001,✭✭✭✭✩ 4.0 399 ratings 1 review Brickset review,-3.1,-31.55
102,76387,Hogwarts: Fluffy Encounter,1 Jun 2021 - 31 Dec 2022 (1y 6m 30d),2021,39.99,63.723000000000006,45.452000000000005,✭✭✭✭✩ 3.5 206 ratings 2 reviews Brickset review,59.35,13.66
103,76388,Hogsmeade Village Visit,1 Jun 2021 - 31 Jul 2024 (3y 1m 29d),2021,89.99,71.016,53.845000000000006,✭✭✭✭✩ 4.1 301 ratings Brickset review,-21.08,-40.17
104,76389,Hogwarts Chamber of Secrets,1 Jun 2021 - 31 Dec 2024 (3y 7m),2021,149.99,,,✭✭✭✭✩ 4.1 245 ratings 1 review Brickset review,,
105,76390,LEGO Harry Potter Advent Calendar,1 Sep 2021 - 31 Dec 2021 (3m 29d),2021,39.99,27.346,15.312000000000001,✭✭✭✭✩ 3.7 114 ratings,-31.62,-61.71
106,76391,Hogwarts Icons - Collectors' Edition,2 Sep 2021 - {t.b.a},2021,299.99,,,✭✭✭✭✭ 4.3 117 ratings 4 reviews Brickset review,,
107,76392,Hogwarts Wizard's Chess,1 Jun 2021 - 31 Dec 2022 (1y 6m 30d),2021,59.99,94.831,66.08800000000001,✭✭✭✭✩ 3.8 136 ratings 2 reviews,58.08,10.17
108,76393,Harry Potter & Hermione Granger,1 Jun 2021 - 31 Dec 2022 (1y 6m 30d),2021,119.99,86.933,76.14200000000001,✭✭✭✭✩ 4.1 70 ratings Brickset review,-27.55,-36.54
109,76394,"Fawkes, Dumbledore's Phoenix",1 Jun 2021 - 31 Dec 2022 (1y 6m 30d),2021,39.99,70.037,44.429,✭✭✭✭✩ 4.2 164 ratings,75.14,11.1
110,76395,Hogwarts: First Flying Lesson,1 Jun 2021 - 31 Dec 2022 (1y 6m 30d),2021,29.99,36.817,25.509000000000004,✭✭✭✭✩ 3.7 163 ratings 1 review,22.76,-14.94
111,76396,Hogwarts Moment: Divination Class,1 Mar 2022 - 31 Dec 2022 (10m),2022,29.99,26.730000000000004,15.675,✭✭✭✭✩ 3.8 113 ratings Brickset review,-10.87,-47.73
112,76397,Hogwarts Moment: Defence Against the Dark Arts Class,1 Mar 2022 - 31 Dec 2022 (10m),2022,29.99,30.723000000000003,23.166,✭✭✭✭✩ 3.8 108 ratings 1 review Brickset review,2.44,-22.75
113,76398,Hogwarts Hospital Wing,1 Mar 2022 - 31 Dec 2023 (1y 10m),2022,49.99,53.790000000000006,45.254000000000005,✭✭✭✭✩ 4.0 146 ratings Brickset review,7.6,-9.47
114,76399,Hogwarts Magical Trunk,1 Mar 2022 - 31 Dec 2023 (1y 10m),2022,64.99,44.81400000000001,27.522000000000002,✭✭✭✭✩ 3.6 95 ratings,-31.04,-57.65
115,76400,Hogwarts Carriage and Thestrals,1 Jun 2022 - 31 Dec 2023 (1y 6m 30d),2022,19.99,16.236,9.9,✭✭✭✭✩ 3.8 164 ratings 1 review Brickset review,-18.78,-50.48
116,76401,Hogwarts Courtyard: Sirius's Rescue,1 Jun 2022 - 31 Dec 2023 (1y 6m 30d),2022,49.99,44.682,30.855000000000004,✭✭✭✭✩ 3.5 104 ratings,-10.62,-38.28
117,76402,Hogwarts: Dumbledore's Office,1 Jun 2022 - 31 Dec 2024 (2y 7m),2022,79.99,,,✭✭✭✭✩ 4.0 124 ratings,,
118,76403,The Ministry of Magic,1 Jun 2022 - 31 Dec 2023 (1y 6m 30d),2022,99.99,66.572,57.717000000000006,✭✭✭✭✩ 3.8 126 ratings 2 reviews,-33.42,-42.28
119,76404,LEGO Harry Potter Advent Calendar,1 Sep 2022 - 31 Dec 2022 (3m 29d),2022,44.99,23.606,17.347,✭✭✭✭✩ 3.4 97 ratings 1 review,-47.53,-61.44
120,76405,Hogwarts Express - Collectors' Edition,31 Aug 2022 - 31 Dec 2024 (2y 4m),2022,499.99,424.71000000000004,310.002,✭✭✭✭✩ 4.2 76 ratings Brickset review,-15.06,-38.0
121,76406,Hungarian Horntail Dragon,1 Jun 2022 - 31 Dec 2023 (1y 6m 30d),2022,49.99,54.120000000000005,40.88700000000001,✭✭✭✭✭ 4.3 129 ratings,8.26,-18.21
